FileType=PCF
NHL=14
Date=03/12/19	14:49:56
Facility=APL
Serial=16071-1
Customer=NASA
NP=6
Mach=0.080000
Calibration=1:1
CalPts=490
TstPts=95
PortNumbering=AP Standard
Units=Torr C m/s kg/m^3 deg mm 
Theta[deg]	Phi[deg]	P1[Torr]	P2[Torr]	P3[Torr]	P4[Torr]	P5[Torr]	P6[Torr]	Pt[Torr]	Ps[Abs,Torr]	Ts[C]	
 13.611	-143.999	  2.87151	  0.07522	  2.33275	  0.39874	  1.83338	 -0.09777	  3.16640	711.51001	 23.40	
 13.601	-136.825	  2.87286	  0.15681	  2.21879	  0.28735	  1.98193	 -0.09596	  3.16572	711.48999	 23.40	
 13.596	-129.640	  2.87633	  0.25551	  2.08824	  0.19333	  2.11766	 -0.09398	  3.16590	711.53003	 23.40	
 13.611	-122.431	  2.87860	  0.36439	  1.94434	  0.10755	  2.24135	 -0.09387	  3.16735	711.62000	 23.40	
 13.604	-115.211	  2.88067	  0.48909	  1.78777	  0.04045	  2.34486	 -0.09374	  3.16784	711.59003	 23.40	
 13.595	-108.042	  2.88452	  0.62522	  1.62515	 -0.00911	  2.42580	 -0.09304	  3.16821	711.53003	 23.40	
 13.607	-100.793	  2.88436	  0.77191	  1.45411	 -0.04715	  2.48424	 -0.09040	  3.16535	710.72998	 23.40	
 13.601	-93.617	  2.89085	  0.93091	  1.28384	 -0.06757	  2.52115	 -0.09059	  3.16757	711.54999	 23.40	
 13.601	-86.383	  2.89486	  1.09612	  1.11862	 -0.07016	  2.53242	 -0.09177	  3.16821	711.53003	 23.40	
 13.607	-79.207	  2.89648	  1.26611	  0.95432	 -0.05788	  2.51835	 -0.09366	  3.16651	711.63000	 23.40	
 13.595	-71.958	  2.90020	  1.43814	  0.79708	 -0.03105	  2.47895	 -0.09515	  3.16622	711.52002	 23.40	
 13.604	-64.789	  2.90520	  1.60501	  0.65330	  0.00716	  2.42248	 -0.09693	  3.16888	711.48999	 23.40	
 13.611	-57.569	  2.90262	  1.76601	  0.51634	  0.06246	  2.33404	 -0.09602	  3.16400	711.53998	 23.40	
 13.596	-50.360	  2.91029	  1.92412	  0.39911	  0.13767	  2.23137	 -0.09577	  3.16671	711.52002	 23.40	
